cluster,count,avg_distance_km,avg_segments,avg_transfers,peak_ratio,avg_traffic_num,mode_day,mode_weather,mode_hour,mode_traffic
2,371,4.825876010781672,1.5444743935309972,0.0,0.0,0.8032345013477089,weekday,clear,12-15,medium
1,415,5.137590361445783,1.616867469879518,0.0,1.0,1.5156626506024096,weekday,clear,15-18,high
4,447,8.586129753914989,2.791946308724832,0.9351230425055929,1.0,1.5279642058165548,weekday,clear,07-09,high
0,430,8.688837209302324,2.811627906976744,0.9255813953488372,0.0,0.872093023255814,weekday,clear,09-12,medium
3,137,17.67007299270073,4.897810218978102,1.0,0.5474452554744526,1.2043795620437956,weekday,clear,18-21,medium
